눌러 막기,nulleo maggi,pressing block,6
손바닥 눌러 막기,sonbadag nulleo maggi,palm pressing block,6
손바닥 올려 막기,sonbadag ollyeo maggi,palm upward block,5
교차주먹 눌러 막기,gyochajumeog nulleo maggi,x-fist pressing block,5
밀어 막기,mil-eo maggi,pushing block,4
손바닥 밀어 막기,sonbadag mil-eo maggi,palm pushing block,4
손바닥 안으로 밀어 막기,sonbadag an-eulo mil-eo maggi,palm inward pushing block,4
쌍 손바닥 올려 막기,ssang sonbadag ollyeo maggi,twin palm upward block,9
몽둥이 막기,mongdung-i maggi,U-shape block,6
쌍 막기,ssang maggi,W-shape block,7
바깥팔목 쌍 막기,bakkatpalmog ssang maggi,outer forearm W-shape block,7
앞 차 올리기,ap cha olligi,front rising kick,0
앞 차기,ap chagi,front kick,1
앞 차 부시기,ap cha busugi,front snap kick,2
돌려 차기,dollyeo chagi,turning kick,2
옆 차기,yeop chagi,side kick,3
반대 옆 차기,bandae yeop chagi,reverse side kick,4
옆차 주기,yeopcha jugi,side piercing kick,8
뛰며 옆 차기,ttwimyeo yeop chagi,flying side kick,8
뒤 차기,dwi chagi,back kick,4
반대 돌려 차기,bandae dollyeo chagi,reverse turning kick,5
무릎 차기,muleup chagi,knee kick,5
골초 차기,golcho chagi,hooking kick,8
반대 돌려 고로 차기,bandae dollyeo golo chagi,reverse hook kick,8
내려 차기,naelyeo chagi,downward kick,8
반달 차기,bandal chagi,cresent kick,8
안으로 반달 차기,an-eulo bandal chagi,inward cresent kick,8
밖으로 반달 차기,bakk-eulo bandal chagi,outward cresent kick,8
뛰며 차기,ttwimyeo chagi,flying kick,8
손칼 때리기,sonkal ttaeligi,knife-hand strike,1
손칼 안으로 때리기,sonkal an-eulo ttaeligi,knife-hand inward strike,3
손칼등 때리기,sonkaldeung ttaeligi,reverse knife-hand strike,4
손칼 내려 때리기,sonkal naelyeo ttaeligi,knife-hand downward strike,8
손칼등 안으로 때리기,sonkaldeung an-eulo ttaeligi,reverse knife-hand inward strike,9
등주먹 때리기,deungjumeog ttaeligi,back-fist strike,2
등주먹 내려 때리기,deungjumeog naelyeo ttaeligi,back-fist downward strike,2
등주먹 앞 내려 때리기,deungjumeog ap naelyeo ttaeligi,back-fist front downward strike,2
등주먹 옆 때리기,deungjumeog yeop ttaeligi,back-fist side strike,3
등주먹 높은데 옆 때리기,deungjumeog nop-eunde yeop ttaeligi,back-fist high side strike,3
등주먹 뒤차 때리기,deungjumeog dwicha ttaeligi,back-fist rear strike,7
옆주먹 때리기,yeopjumeog ttaeligi,side-fist strike,6
팔굽 때리기,palgub ttaeligi,elbow strike,5
팔굽 앞 때리기,palgub ap ttaeligi,front elbow strike,5
위 팔굽 때리기,wi palgub taetigi,upper elbow strike,6
손바닥 때리기,sonbadag ttaeligi,palm strike,6
반달 손 때리기,bandal son ttaeligi,arc hand strike,6
손 손끝 틀기,son sonkkeut teulgi,straight finger tip thrust,3
오픈 손끝 틀기,opeun sonkkeut teulgi,flat fingertip thrust,5
뒤집은 손끝 틀기,dwijib-eun sonkkeut teulgi,upset fingertip thrust,7
옆 팔굽 틀기,yeoppalgub teulgi,side-elbow thrust,5
잡혀술 타,jabhyeosul ta,release move,3
삼보 맞석이,sambo majseog-i,three step sparring,2
이보 맞석이,ibo majseog-i,two step sparring,5
일보 맞석이,ilbo majseog-i,one step sparring,7
자유 맞석이,jayu majseog-i,free sparring,5
반 자유 맞석이,ban jayu majseog-i,semi-free sparring,4
